epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.982,4.42646,11.5084,0.00612,0,0,0,0,4.20953,6.73588,0.00492,0.0004,0.0004,0.0004
2,364.564,3.9947,6.29448,0.0036,0.00122,0.07914,0.00067,0.00013,3.90324,6.02267,0.00391,0.000803764,0.000803764,0.000803764
3,563.258,3.8062,5.17377,0.00291,0.00211,0.13669,0.01117,0.00434,3.92905,5.72586,0.00387,0.0011909,0.0011909,0.0011909
4,1134.74,3.8213,4.69925,0.00297,0.00178,0.11511,0.00888,0.00189,4.37778,6.02346,0.00406,0.0015614,0.0015614,0.0015614
5,2365.62,3.64264,4.0912,0.0028,0.22405,0.02878,0.02275,0.00651,3.78862,4.6175,0.00356,0.0018416,0.0018416,0.0018416
6,2575.15,3.59828,3.76734,0.00267,0.18825,0.07914,0.05393,0.01579,3.82515,4.12884,0.0036,0.001802,0.001802,0.001802
7,2762.12,3.58949,3.62933,0.00267,0.21055,0.06475,0.0422,0.01438,3.79639,3.78804,0.00362,0.0017624,0.0017624,0.0017624
