epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.671,4.37372,13.2383,0.00685,0,0,0,0,4.39982,7.5387,0.00675,0.0002,0.0002,0.0002
2,87177.7,4.13638,7.81382,0.0044,0,0,0,0,4.11809,6.60496,0.00434,0.000394013,0.000394013,0.000394013
3,87314.9,3.87613,5.73032,0.00319,0.00033,0.02158,0.00017,3e-05,4.03023,6.31957,0.00439,0.0005608,0.0005608,0.0005608
4,87358,3.74187,4.91437,0.00286,0.00111,0.07194,0.00061,0.00019,4.07715,6.32757,0.00391,0.000700363,0.000700363,0.000700363
5,87408.8,3.65361,4.49377,0.00278,0.00233,0.15108,0.00198,0.00066,3.94509,5.78561,0.00383,0.0008127,0.0008127,0.0008127
6,87450,3.57088,4.02554,0.00266,0.00312,0.20144,0.04145,0.01422,3.7524,5.2488,0.00358,0.000897813,0.000897813,0.000897813
7,87490.8,3.38938,4.86393,0.00273,0.00244,0.15827,0.01414,0.00499,3.99285,4.98949,0.00369,0.0009557,0.0009557,0.0009557
8,87523,3.39723,4.39203,0.00271,0.17047,0.03597,0.02603,0.00961,3.95892,4.60734,0.00364,0.000986362,0.000986362,0.000986362
9,88230.2,3.3349,4.11182,0.00267,0.28044,0.01439,0.01614,0.00532,3.90368,4.3437,0.00363,0.0009898,0.0009898,0.0009898
10,88265.8,3.30756,3.74896,0.00256,0.21127,0.06475,0.02698,0.00546,3.67994,3.95632,0.00348,0.00088625,0.00088625,0.00088625
11,88306.5,3.32537,3.59905,0.00257,0.27611,0.02878,0.04457,0.00918,3.63704,3.76695,0.0033,0.0007625,0.0007625,0.0007625
12,88359,3.30259,3.42884,0.00261,0.11549,0.03597,0.0334,0.00666,3.7764,3.57916,0.00351,0.00063875,0.00063875,0.00063875
13,88399.4,3.15881,3.21841,0.00242,0.32008,0.06475,0.07115,0.01341,3.72176,3.44941,0.00339,0.000515,0.000515,0.000515
14,88431.2,3.12654,3.10848,0.0024,0.27373,0.07194,0.07153,0.01924,3.65838,3.35623,0.00333,0.00039125,0.00039125,0.00039125
15,88463.2,3.10494,3.09768,0.00232,0.30163,0.10568,0.08078,0.01889,3.6574,3.27508,0.00337,0.0002675,0.0002675,0.0002675
16,88492.7,3.10553,2.98069,0.00234,0.30078,0.10791,0.08917,0.01998,3.65002,3.24824,0.0034,0.00014375,0.00014375,0.00014375
